Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
1;Nuclear fuel assembly for boiling water reactor comprising a fuel channel spacer;The nuclear fuel assembly (2) for boiling water reactor comprises a base (4), a head (6), a bundle of fuel rods (8) extending longitudinally between the base (4) and the head (6), a tubular fuel channel (14) encasing the bundle of fuel rods (8), and at least one fuel channel spacer (22) for transversely spacing the fuel assembly (2) from an adjacent element. According to one aspect of the invention, the or each fuel channel spacer (22) comprises a support (34) having at least one plate (38) and at least one corresponding leaf spring (36) supported by the corresponding plate (38), the or each plate (38) being fixed to a corresponding sidewall (26) of the fuel channel (14).;"BLAVIUS DIRK [DE] 
FRIEDRICH ERHARD [DE] 
BLOCK BERND [DE] 
RUDER VIKTOR [DE] 
LONG COREY [US] 
WALKER MICHAEL [US]";AREVA NP [FR];EP2525365A1;20.05.2011;"G21C3/332 
G21C3/34";"G21C3/332 (EP,KR,US) 
G21C3/34 (EP,KR,US) 
G21C3/3566 (US) 
Y02E30/30 (EP,US)";21.11.2012;21.11.2012;44546021
2;Debris shield of upper tie plate for nuclear fuel assembly and method to shield assembly from debris;A nuclear reactor fuel assembly (10) including: a fuel bundle including an array of fuel rods (11, 12) and water rods (23, 230, 56, 57) mounted in an upper tie plate (13, 52) and housed in walls of a channel (20), and a debris shield (26, 36, 50) mounted at least partially in the channel and above or below the upper tie plate, the shield extending to or over the walls of the channel, wherein the shield is porous.;"ELKINS ROBERT B [US] 
FAWCETT RUSSELL MORGAN [US] 
SMITH DAVID [US] 
KIERNAN MICHAEL [US] 
STACHOWSKI RUSSELL [US] 
LUCIANO GERALD A [US] 
DE FILIPPIS MICHAEL S [US] 
CLARK CARLTON W [US] 
LONGREN RICHARD CARL [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP2031600A1 
EP2031600B1";31.08.2007;"G21C3/322 
G21C3/33 
G21C3/344";"G21C3/3206 (EP,US) 
G21C3/33 (EP,US) 
G21C3/344 (EP,US) 
Y02E30/30 (EP,US)";"2009-03-04 
2011-05-11";04.03.2009;40122478
3;Method to remove a fuel rod from a fuel bundle of a nuclear reactor;"A method to clean or replace a debris shield in a nuclear reactor fuel bundle assembly (10), wherein the fuel bundle assembly includes a bundle of fuel rods (11, 12) in which the fuel enriched portions of the rods are below an upper tie plate (13, 100, 130, 150) and housed in a channel (20), the method comprising: inserting a debris shield (102, 136, 152, 168) in the upper tie plate; maintaining the shield in the upper tie plate and above the fuel enriched portions of the fuel rods, while the fuel assembly is in an operating nuclear reactor core (21); flowing coolant through the bundle and the debris shield during operation of the nuclear reactor core; capturing or deflecting debris flowing through the fuel bundle assembly with the debris shield; removing the fuel bundle assembly from the nuclear reactor core, and removing the debris shield from the upper tie plate.";"SMITH DAVID [US] 
DEFILIPPIS MICHAEL S [US] 
LUCIANO GERALD A [US] 
KIERNAN MICHAEL [US] 
CLARK CARLTON [US] 
LANGSTON ANDREW K [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP2192591A2 
EP2192591A3 
EP2192591B1";31.08.2007;"G21C3/32 
G21C3/33 
G21C3/334 
G21C3/335";"G21C3/3206 (EP,US) 
G21C3/3315 (EP,US) 
G21C3/334 (EP,US) 
G21C3/335 (EP,US) 
Y02E30/30 (EP,US)";"2010-06-02 
2012-01-11 
2013-05-29";26.03.2009;41694746
4;Fuel assembly for a BWR with releasable fasteners between the transition piece and the bottom end-piece;"The present invention relates to a nuclear fuel assembly (1) for a nuclear boiling water reactor comprising : - a bottom end-piece (3), a top end-piece (4), a bundle of fuel rods (5) extending along a longitudinal direction (L) between the bottom end-piece (3) and the top end-piece (4); - a fuel channel (10) surrounding the bundle of fuel rods (5) ; and - a transition piece (16) extending the fuel channel (10) longitudinally downwardly for fitting into a lower core plate (2) of the nuclear boiling water reactor, characterized in that the bottom end-piece (3) and the transition piece (16) comprise releasable complementary fasteners and are releasably fastened to one another through the releasable complementary fasteners.";"SCHAEFER JENS [DE] 
KRONENBERG JURIS [DE] 
FRIEDRICH ERHARD [DE] 
BLAVIUS DIRK [DE]";AREVA NP [FR];"EP2613322A1 
EP2613322B1";06.01.2012;G21C3/33;"G21C3/3305 (EP) 
Y02E30/30 (EP)";"2013-07-10 
2017-07-12";10.07.2013;45497918
5;Water rod for boiling water nuclear reactor fuel assembly and method for improving water flow through the assembly;A nuclear reactor fuel bundle assembly has been developed that includes: a fuel bundle including an array of fuel rods attached to a lower tie plate, an upper tie plate and housed in walls of a channel, and a water rod, having an upper discharge end below and unattached to the upper tie plate, and the upper discharge end having an unobstructed opening.;"ELKINS ROBERT B [US] 
MAKOVICKA MASON DENNIS [US] 
DEFILIPPIS MICHAEL S [US]";GLOBAL NUCLEAR FUEL AMERICAS [US];"EP2020660A1 
EP2020660B1";30.07.2007;G21C3/322;"G21C3/322 (EP,US) 
Y02E30/30 (EP,US)";"2009-02-04 
2011-04-20";04.02.2009;39968041
6;Fuel assembly for a nuclear boiling water reactor;The present invention concerns a fuel assembly (4) for a nuclear power boiling water reactor, comprising: a fuel channel (6) defining a central fuel channel axis (8), fuel rods (10), each having a central fuel rod axis (12), at least 3 water channels (14) for non-boiling water, each water channel having a central water channel axis (16) and each water channel having a larger cross-sectional area than the cross-sectional area of (the average) fuel rod (10). The fuel rods (10) comprise a first group of full length fuel rods and a second group of shorter fuel rods. The fuel assembly (4) comprises at least 5 fuel rods which belong to said second group and which are positioned such that the central fuel rod axis (12) of each of these at least 5 fuel rods is closer to the central fuel channel axis (8) than any of the water channel axes (16) of the water channels (14).;"BERGMANN UFFE [SE] 
AURÉN JONAS [SE] 
JOHANSSON LARS-ERIK [SE]";"WESTINGHOUSE ELECTRIC SWEDEN [SE] 
WESTINGHOUSE ELECTRIC SWEDEN AB [SE]";"EP3001425A1 
EP3001425B1";24.09.2014;"G21C3/322 
G21C3/326 
G21C3/328";"G21C3/322 (EP,US) 
G21C3/3225 (EP,US) 
G21C3/326 (EP,US) 
G21C3/328 (EP,US) 
Y02E30/30 (EP,US)";"2016-03-30 
2017-07-26";30.03.2016;51585038
7;NUCLEAR FUEL ASSEMBLY FOR A BOILING WATER REACTOR WITH REDUNDANT LOAD CHAIN;The fuel assembly extends along a fuel assembly axis (L) and comprises a base (3) including a lower tie plate (4), a head (5) including an upper tie plate (6) and a lift handle (7), a bundle of fuel rods (8) extending axially between the lower tie plate (4) and the upper tie plate (6), and a water channel (10) extending within the bundle of fuel rods (8) with axially connecting the base (3) to the head (5) such that the load of the base (3) is transferred to the head (5) via the water channel (10). The fuel assembly further comprises a tie rod (20) extending between the base (3) and the head (5), the tie rod (20) being axially fixed to the base (3) and connected to the head (5) via a connection assembly (22) comprising a stopping member (30) configured to abut an abutting surface (32) of the head (5) for limiting a downward movement of the base (3) relative to the head (5) during lifting of the fuel assembly (2), in case of a breakage of the water channel (10).;"BLAVIUS DIRK [DE] 
FRIEDRICH ERHARD [DE] 
SCHAEFER JENS [DE] 
SINGER MARKUS [DE] 
FINZEL SVEN [DE] 
KOVACS SZILARD [DE]";FRAMATOME SA [FR];EP3968341A1;14.09.2020;"G21C3/33 
G21C3/334";"G21C3/3206 (US) 
G21C3/322 (US) 
G21C3/328 (US) 
G21C3/33 (EP,US) 
G21C3/3315 (EP,US) 
G21C3/334 (EP) 
Y02E30/30 (EP)";16.03.2022;16.03.2022;73854801
8;BWR nuclear fuel assembly with snap-in sleeve spring;The invention relates to a nuclear fuel assembly for a boiling water reactor comprising a base (2), a head, and a bundle of full length fuel rods and partial length fuel rods (11), said bundle extending upwardly and longitudinally from the base (2) to the head, the nuclear fuel assembly (1) comprising at least one clamp (33) for longitudinally retaining a lower plug (13) of a partial length fuel rod (11) with respect to the base (2). The clamp (33) is an additional part fitted to the base (2), the clamp (33) is at least partially received in a housing (30) provided in the base (2), and the clamp (33) is assembled to the base (2) by mechanical engagement of complementary assembly means.;"KURZER KLAUS [DE] 
FRIEDRICH ERHARD [DE] 
BLAVIUS DIRK [DE] 
BLOCK BERND [DE]";AREVA NP [FR];EP2405443A1;06.07.2010;"G21C3/33 
G21C5/06";"G21C3/33 (KR,US) 
G21C3/3305 (EP,US) 
G21C3/331 (EP,US) 
G21C5/06 (EP,KR,US) 
Y02E30/30 (EP,US)";11.01.2012;11.01.2012;43086300
9;Nuclear fuel assembly debris filter bottom nozzle;A debris filter bottom nozzle (12) for a pressurized water nuclear reactor fuel assembly (10) that employs a corrugated screen (58) in combination with flow through holes (48) in an adapter plate (46) to filter out potentially damaging debris. The area between the screen (58) and the adapter plate (46) defines a plenum (62) that forms a collection point for the debris and coolant access is provided to the plenum (62) through openings in the screen (58) and sidewalls of the nozzle (12).;YURILY ALESHIN [US];WESTINGHOUSE ELECTRIC CORP [US];"EP2341509A2 
EP2341509A3 
EP2341509B1";05.01.2010;"G21C19/307 
G21C3/30 
G21C3/32 
G21C3/33";"G21C19/307 (EP,US) 
G21C3/30 (EP,US) 
G21C3/3206 (EP,US) 
G21C3/3305 (EP,US) 
Y02E30/30 (EP,US)";"2011-07-06 
2011-12-14 
2012-09-19";06.07.2011;43743455
10;SINGLE-BOILER-SHEET SERIES CAST ALUMINUM-SILICON WATER HEATER COUPLED TO PRE-MIXING WATER-COOLING COMBUSTOR;A premixed water-cooling combustion coupled cast-aluminum-silicon water boiler with series-connected boiler sections. A main structure is formed by axisymmetric series-connected boiler sections instead of three different boiler sections, including an upper radiation zone composed of a water-cooling combustion head, a front cover plate and a rear cover plate, a middle convection zone and condensation zone, and a lower special-shaped smoke box. A center of a combustion chamber of each boiler section is provided with a water-cooling combustion head including an annular water channel, two parallel ascending water channels or water channels respectively provided at two sides of an upper portion of a furnace. A flue gas-air mixture is ignited to burn after passing through anti-backfire ribs and flame-stabilizing fins. The flue gas is allowed to flow downward through radiation zone, the convection zone and a pin-fin heating surface of the condensation zone, and is collected in the special-shaped smoke box. The flue gas is allowed to turn to be upwardly discharged. The boiler is provided with a header inside rather than connected to an external water channel, so as to simplify sealing, improve working efficiency, and make a boiler structure more compact. The water boiler integrates water cooling and heat exchange, reducing a temperature of the combustion area, restraining a generation of nitrogen oxides, and reducing nitrogen oxides.;"ZHAO QINXIN [CN] 
JIAO JIAN [CN] 
SHAO HUAISHUANG [CN] 
WANG YUNGANG [CN] 
LIANG ZHIYUAN [CN]";UNIV XI AN JIAOTONG [CN];"EP4075075A1 
EP4075075A4 
EP4075075B1 
EP4075075C0";16.07.2020;"F24H8/00 
F24H9/00 
F24H9/02 
F24H9/18 
F24H1/32 
F24H9/1836";"F24H1/32 (EP) 
F24H8/00 (EP,CN) 
F24H9/0005 (CN) 
F24H9/0015 (EP) 
F24H9/0026 (EP) 
F24H9/02 (CN) 
F24H9/1836 (EP,CN)";"2022-10-19 
2024-01-24 
2024-09-04";27.10.2020;72924236
